"","iso3c","date","country","Population, female (% of total population)","Population, male (% of total population)","region","income_level","longitude","latitude"
"78","BDI","2015","Burundi",50.4850574318944,49.5149425681056,"Sub-Saharan Africa","Low income",29.3639,-3.3784
"79","BDI","2016","Burundi",50.4647596367735,49.5352403632265,"Sub-Saharan Africa","Low income",29.3639,-3.3784
"80","BDI","2017","Burundi",50.4434188201544,49.5565811798456,"Sub-Saharan Africa","Low income",29.3639,-3.3784
"81","BDI","2018","Burundi",50.4219946366025,49.5780053633975,"Sub-Saharan Africa","Low income",29.3639,-3.3784
"82","BDI","2019","Burundi",50.4015453866706,49.5984546133294,"Sub-Saharan Africa","Low income",29.3639,-3.3784
"83","BDI","2020","Burundi",50.3828722436314,49.6171277563686,"Sub-Saharan Africa","Low income",29.3639,-3.3784
"84","BDI","2021","Burundi",50.3660214587347,49.6339785412653,"Sub-Saharan Africa","Low income",29.3639,-3.3784
"85","BEL","2015","Belgium",50.8445436103392,49.1554563896608,"Europe & Central Asia","High income",4.36761,50.8371
"86","BEL","2016","Belgium",50.7786624171566,49.2213375828434,"Europe & Central Asia","High income",4.36761,50.8371
"87","BEL","2017","Belgium",50.6906454711101,49.3093545288899,"Europe & Central Asia","High income",4.36761,50.8371
"88","BEL","2018","Belgium",50.593319387085,49.406680612915,"Europe & Central Asia","High income",4.36761,50.8371
"89","BEL","2019","Belgium",50.5042235569044,49.4957764430955,"Europe & Central Asia","High income",4.36761,50.8371
"90","BEL","2020","Belgium",50.4355019182689,49.5644980817311,"Europe & Central Asia","High income",4.36761,50.8371
"91","BEL","2021","Belgium",50.3912456433937,49.6087543566063,"Europe & Central Asia","High income",4.36761,50.8371
"92","BEN","2015","Benin",50.1687695171371,49.8312304828629,"Sub-Saharan Africa","Lower middle income",2.6323,6.4779
"93","BEN","2016","Benin",50.1422635906017,49.8577364093983,"Sub-Saharan Africa","Lower middle income",2.6323,6.4779
"94","BEN","2017","Benin",50.1190046667655,49.8809953332345,"Sub-Saharan Africa","Lower middle income",2.6323,6.4779
"95","BEN","2018","Benin",50.098201703347,49.901798296653,"Sub-Saharan Africa","Lower middle income",2.6323,6.4779
"96","BEN","2019","Benin",50.0789711105298,49.9210288894702,"Sub-Saharan Africa","Lower middle income",2.6323,6.4779
"97","BEN","2020","Benin",50.0606358157311,49.9393641842689,"Sub-Saharan Africa","Lower middle income",2.6323,6.4779
"98","BEN","2021","Benin",50.0431570686797,49.9568429313203,"Sub-Saharan Africa","Lower middle income",2.6323,6.4779
"99","BFA","2015","Burkina Faso",50.2017380303353,49.7982619696646,"Sub-Saharan Africa","Low income",-1.53395,12.3605
"100","BFA","2016","Burkina Faso",50.1644289633092,49.8355710366908,"Sub-Saharan Africa","Low income",-1.53395,12.3605
"101","BFA","2017","Burkina Faso",50.1290558819784,49.8709441180216,"Sub-Saharan Africa","Low income",-1.53395,12.3605
"102","BFA","2018","Burkina Faso",50.0954815202072,49.9045184797928,"Sub-Saharan Africa","Low income",-1.53395,12.3605
"103","BFA","2019","Burkina Faso",50.0635660476455,49.9364339523545,"Sub-Saharan Africa","Low income",-1.53395,12.3605
"104","BFA","2020","Burkina Faso",50.0331335592437,49.9668664407563,"Sub-Saharan Africa","Low income",-1.53395,12.3605
"105","BFA","2021","Burkina Faso",50.0041749823244,49.9958250176756,"Sub-Saharan Africa","Low income",-1.53395,12.3605
"106","BGD","2015","Bangladesh",49.3030594026594,50.6969405973406,"South Asia","Lower middle income",90.4113,23.7055
"107","BGD","2016","Bangladesh",49.328805151069,50.671194848931,"South Asia","Lower middle income",90.4113,23.7055
"108","BGD","2017","Bangladesh",49.3572628649675,50.6427371350325,"South Asia","Lower middle income",90.4113,23.7055
"109","BGD","2018","Bangladesh",49.3872966665271,50.6127033334729,"South Asia","Lower middle income",90.4113,23.7055
"110","BGD","2019","Bangladesh",49.4169108771415,50.5830891228585,"South Asia","Lower middle income",90.4113,23.7055
"111","BGD","2020","Bangladesh",49.4447629328965,50.5552370671035,"South Asia","Lower middle income",90.4113,23.7055
"112","BGD","2021","Bangladesh",49.47087161019,50.52912838981,"South Asia","Lower middle income",90.4113,23.7055
"113","BGR","2015","Bulgaria",51.3644314050829,48.6355685949171,"Europe & Central Asia","Upper middle income",23.3238,42.7105
"114","BGR","2016","Bulgaria",51.3809664164225,48.6190335835775,"Europe & Central Asia","Upper middle income",23.3238,42.7105
"115","BGR","2017","Bulgaria",51.3978693555409,48.6021306444591,"Europe & Central Asia","Upper middle income",23.3238,42.7105
"116","BGR","2018","Bulgaria",51.4140884138516,48.5859115861484,"Europe & Central Asia","Upper middle income",23.3238,42.7105
"117","BGR","2019","Bulgaria",51.4286118360593,48.5713881639407,"Europe & Central Asia","Upper middle income",23.3238,42.7105
"118","BGR","2020","Bulgaria",51.4406316809013,48.5593683190987,"Europe & Central Asia","Upper middle income",23.3238,42.7105
"119","BGR","2021","Bulgaria",51.4494490445006,48.5505509554994,"Europe & Central Asia","Upper middle income",23.3238,42.7105
"120","BHR","2015","Bahrain",38.2764771444171,61.7235228555829,"Middle East & North Africa","High income",50.5354,26.1921
"121","BHR","2016","Bahrain",37.7933542947679,62.2066457052321,"Middle East & North Africa","High income",50.5354,26.1921
"122","BHR","2017","Bahrain",37.0949422285465,62.9050577714535,"Middle East & North Africa","High income",50.5354,26.1921
"123","BHR","2018","Bahrain",36.3482516056683,63.6517483943317,"Middle East & North Africa","High income",50.5354,26.1921
"124","BHR","2019","Bahrain",35.7287266842314,64.2712733157686,"Middle East & North Africa","High income",50.5354,26.1921
"125","BHR","2020","Bahrain",35.3264577749072,64.6735422250927,"Middle East & North Africa","High income",50.5354,26.1921
"126","BHR","2021","Bahrain",35.1439545385647,64.8560454614353,"Middle East & North Africa","High income",50.5354,26.1921
"127","BHS","2015","Bahamas, The",51.4676643506146,48.5323356493854,"Latin America & Caribbean","High income",-77.339,25.0661
"128","BHS","2016","Bahamas, The",51.4512215451296,48.5487784548704,"Latin America & Caribbean","High income",-77.339,25.0661
"129","BHS","2017","Bahamas, The",51.4382486922035,48.5617513077965,"Latin America & Caribbean","High income",-77.339,25.0661
"130","BHS","2018","Bahamas, The",51.4250521866532,48.5749478133468,"Latin America & Caribbean","High income",-77.339,25.0661
"131","BHS","2019","Bahamas, The",51.4154552410099,48.58454475899,"Latin America & Caribbean","High income",-77.339,25.0661
"132","BHS","2020","Bahamas, The",51.4064915778338,48.5935084221662,"Latin America & Caribbean","High income",-77.339,25.0661
"133","BHS","2021","Bahamas, The",51.3957683528422,48.6042316471578,"Latin America & Caribbean","High income",-77.339,25.0661
"134","BIH","2015","Bosnia and Herzegovina",50.9721341753947,49.0278658246053,"Europe & Central Asia","Upper middle income",18.4214,43.8607
"135","BIH","2016","Bosnia and Herzegovina",50.9865890511162,49.0134109488838,"Europe & Central Asia","Upper middle income",18.4214,43.8607
"136","BIH","2017","Bosnia and Herzegovina",50.9993931137205,49.0006068862795,"Europe & Central Asia","Upper middle income",18.4214,43.8607
"137","BIH","2018","Bosnia and Herzegovina",51.0105360252881,48.9894639747119,"Europe & Central Asia","Upper middle income",18.4214,43.8607
"138","BIH","2019","Bosnia and Herzegovina",51.0209033752823,48.9790966247177,"Europe & Central Asia","Upper middle income",18.4214,43.8607
"139","BIH","2020","Bosnia and Herzegovina",51.0301860970521,48.9698139029479,"Europe & Central Asia","Upper middle income",18.4214,43.8607
"140","BIH","2021","Bosnia and Herzegovina",51.0388517214403,48.9611482785597,"Europe & Central Asia","Upper middle income",18.4214,43.8607
"141","BLR","2015","Belarus",53.4673831793126,46.5326168206874,"Europe & Central Asia","Upper middle income",27.5766,53.9678
"142","BLR","2016","Belarus",53.4605391398654,46.5394608601346,"Europe & Central Asia","Upper middle income",27.5766,53.9678
"143","BLR","2017","Belarus",53.4575814162466,46.5424185837534,"Europe & Central Asia","Upper middle income",27.5766,53.9678
"144","BLR","2018","Belarus",53.4560542241486,46.5439457758514,"Europe & Central Asia","Upper middle income",27.5766,53.9678
"145","BLR","2019","Belarus",53.4519401350492,46.5480598649508,"Europe & Central Asia","Upper middle income",27.5766,53.9678
"146","BLR","2020","Belarus",53.4425066097342,46.5574933902658,"Europe & Central Asia","Upper middle income",27.5766,53.9678
"147","BLR","2021","Belarus",53.4271318234176,46.5728681765824,"Europe & Central Asia","Upper middle income",27.5766,53.9678
"148","BLZ","2015","Belize",50.0908773543607,49.9091226456393,"Latin America & Caribbean","Upper middle income",-88.7713,17.2534
"149","BLZ","2016","Belize",50.1214715566546,49.8785284433454,"Latin America & Caribbean","Upper middle income",-88.7713,17.2534
"150","BLZ","2017","Belize",50.1574080234183,49.8425919765817,"Latin America & Caribbean","Upper middle income",-88.7713,17.2534
"151","BLZ","2018","Belize",50.1925230570834,49.8074769429166,"Latin America & Caribbean","Upper middle income",-88.7713,17.2534
"152","BLZ","2019","Belize",50.2291527368958,49.7708472631042,"Latin America & Caribbean","Upper middle income",-88.7713,17.2534
"153","BLZ","2020","Belize",50.263944811768,49.736055188232,"Latin America & Caribbean","Upper middle income",-88.7713,17.2534
"154","BLZ","2021","Belize",50.296975908524,49.703024091476,"Latin America & Caribbean","Upper middle income",-88.7713,17.2534
"155","BOL","2015","Bolivia",49.7370864341458,50.2629135658542,"Latin America & Caribbean","Lower middle income",-66.1936,-13.9908
"156","BOL","2016","Bolivia",49.7515732215404,50.2484267784596,"Latin America & Caribbean","Lower middle income",-66.1936,-13.9908
"157","BOL","2017","Bolivia",49.7671683886137,50.2328316113863,"Latin America & Caribbean","Lower middle income",-66.1936,-13.9908
"158","BOL","2018","Bolivia",49.7833991301085,50.2166008698915,"Latin America & Caribbean","Lower middle income",-66.1936,-13.9908
"159","BOL","2019","Bolivia",49.7997064561749,50.2002935438251,"Latin America & Caribbean","Lower middle income",-66.1936,-13.9908
"160","BOL","2020","Bolivia",49.8157761794304,50.1842238205696,"Latin America & Caribbean","Lower middle income",-66.1936,-13.9908
"161","BOL","2021","Bolivia",49.8313605346974,50.1686394653026,"Latin America & Caribbean","Lower middle income",-66.1936,-13.9908
"162","BRA","2015","Brazil",50.7719224932182,49.2280775067818,"Latin America & Caribbean","Upper middle income",-47.9292,-15.7801
"163","BRA","2016","Brazil",50.7912843511594,49.2087156488406,"Latin America & Caribbean","Upper middle income",-47.9292,-15.7801
"164","BRA","2017","Brazil",50.8106594294745,49.1893405705255,"Latin America & Caribbean","Upper middle income",-47.9292,-15.7801
"165","BRA","2018","Brazil",50.8299167629894,49.1700832370106,"Latin America & Caribbean","Upper middle income",-47.9292,-15.7801
"166","BRA","2019","Brazil",50.8489000631174,49.1510999368826,"Latin America & Caribbean","Upper middle income",-47.9292,-15.7801
"167","BRA","2020","Brazil",50.8674852403264,49.1325147596736,"Latin America & Caribbean","Upper middle income",-47.9292,-15.7801
"168","BRA","2021","Brazil",50.885636723791,49.114363276209,"Latin America & Caribbean","Upper middle income",-47.9292,-15.7801
"169","BRB","2015","Barbados",51.7928552152443,48.2071447847557,"Latin America & Caribbean","High income",-59.6105,13.0935
"170","BRB","2016","Barbados",51.7484377077516,48.2515622922484,"Latin America & Caribbean","High income",-59.6105,13.0935
"171","BRB","2017","Barbados",51.7089463331808,48.2910536668192,"Latin America & Caribbean","High income",-59.6105,13.0935
"172","BRB","2018","Barbados",51.6728300307005,48.3271699692995,"Latin America & Caribbean","High income",-59.6105,13.0935
"173","BRB","2019","Barbados",51.6366398277478,48.3633601722522,"Latin America & Caribbean","High income",-59.6105,13.0935
"174","BRB","2020","Barbados",51.6012402086501,48.3987597913499,"Latin America & Caribbean","High income",-59.6105,13.0935
"175","BRB","2021","Barbados",51.5658236823446,48.4341763176554,"Latin America & Caribbean","High income",-59.6105,13.0935
"176","BRN","2015","Brunei Darussalam",47.9824734764313,52.0175265235687,"East Asia & Pacific","High income",114.946,4.94199
"177","BRN","2016","Brunei Darussalam",47.9798280572952,52.0201719427048,"East Asia & Pacific","High income",114.946,4.94199
"178","BRN","2017","Brunei Darussalam",48.0004994334258,51.9995005665742,"East Asia & Pacific","High income",114.946,4.94199
"179","BRN","2018","Brunei Darussalam",48.0361805296531,51.9638194703469,"East Asia & Pacific","High income",114.946,4.94199
"180","BRN","2019","Brunei Darussalam",48.076603522765,51.923396477235,"East Asia & Pacific","High income",114.946,4.94199
"181","BRN","2020","Brunei Darussalam",48.1152410493665,51.8847589506335,"East Asia & Pacific","High income",114.946,4.94199
"182","BRN","2021","Brunei Darussalam",48.1469066794706,51.8530933205294,"East Asia & Pacific","High income",114.946,4.94199
"183","BTN","2015","Bhutan",47.2419406911806,52.7580593088194,"South Asia","Lower middle income",89.6177,27.5768
"184","BTN","2016","Bhutan",47.1688841953235,52.8311158046765,"South Asia","Lower middle income",89.6177,27.5768
"185","BTN","2017","Bhutan",47.0871006206048,52.9128993793952,"South Asia","Lower middle income",89.6177,27.5768
"186","BTN","2018","Bhutan",47.0026352207594,52.9973647792406,"South Asia","Lower middle income",89.6177,27.5768
"187","BTN","2019","Bhutan",46.9223975027978,53.0776024972022,"South Asia","Lower middle income",89.6177,27.5768
"188","BTN","2020","Bhutan",46.8532111994111,53.1467888005889,"South Asia","Lower middle income",89.6177,27.5768
"189","BTN","2021","Bhutan",46.7943326067444,53.2056673932555,"South Asia","Lower middle income",89.6177,27.5768
"190","BWA","2015","Botswana",51.8456973965397,48.1543026034603,"Sub-Saharan Africa","Upper middle income",25.9201,-24.6544
"191","BWA","2016","Botswana",51.8634211836059,48.1365788163941,"Sub-Saharan Africa","Upper middle income",25.9201,-24.6544
"192","BWA","2017","Botswana",51.8171255775311,48.1828744224689,"Sub-Saharan Africa","Upper middle income",25.9201,-24.6544
"193","BWA","2018","Botswana",51.7307604432344,48.2692395567656,"Sub-Saharan Africa","Upper middle income",25.9201,-24.6544
"194","BWA","2019","Botswana",51.6380366739983,48.3619633260017,"Sub-Saharan Africa","Upper middle income",25.9201,-24.6544
"195","BWA","2020","Botswana",51.5611970445968,48.4388029554032,"Sub-Saharan Africa","Upper middle income",25.9201,-24.6544
"196","BWA","2021","Botswana",51.503812717959,48.496187282041,"Sub-Saharan Africa","Upper middle income",25.9201,-24.6544
"197","CAF","2015","Central African Republic",50.4455761866174,49.5544238133826,"Sub-Saharan Africa","Low income",21.6407,5.63056
"198","CAF","2016","Central African Republic",50.4408747812485,49.5591252187515,"Sub-Saharan Africa","Low income",21.6407,5.63056
"199","CAF","2017","Central African Republic",50.4381070329718,49.5618929670282,"Sub-Saharan Africa","Low income",21.6407,5.63056
"200","CAF","2018","Central African Republic",50.4364737081782,49.5635262918218,"Sub-Saharan Africa","Low income",21.6407,5.63056
"201","CAF","2019","Central African Republic",50.4344725457143,49.5655274542857,"Sub-Saharan Africa","Low income",21.6407,5.63056
"202","CAF","2020","Central African Republic",50.4314910625033,49.5685089374967,"Sub-Saharan Africa","Low income",21.6407,5.63056
"203","CAF","2021","Central African Republic",50.427348690149,49.572651309851,"Sub-Saharan Africa","Low income",21.6407,5.63056
"204","CAN","2015","Canada",50.4141265575823,49.5858734424177,"North America","High income",-75.6919,45.4215
"205","CAN","2016","Canada",50.4105660284427,49.5894339715573,"North America","High income",-75.6919,45.4215
"206","CAN","2017","Canada",50.4025621628782,49.5974378371218,"North America","High income",-75.6919,45.4215
"207","CAN","2018","Canada",50.3915299543153,49.6084700456847,"North America","High income",-75.6919,45.4215
"208","CAN","2019","Canada",50.3795163341899,49.6204836658101,"North America","High income",-75.6919,45.4215
"209","CAN","2020","Canada",50.3680248057894,49.6319751942105,"North America","High income",-75.6919,45.4215
"210","CAN","2021","Canada",50.3573994192957,49.6426005807043,"North America","High income",-75.6919,45.4215
"211","CHE","2015","Switzerland",50.5086132864878,49.4913867135122,"Europe & Central Asia","High income",7.44821,46.948
"212","CHE","2016","Switzerland",50.4755955161836,49.5244044838164,"Europe & Central Asia","High income",7.44821,46.948
"213","CHE","2017","Switzerland",50.4489996625983,49.5510003374017,"Europe & Central Asia","High income",7.44821,46.948
"214","CHE","2018","Switzerland",50.4271246622237,49.5728753377763,"Europe & Central Asia","High income",7.44821,46.948
"215","CHE","2019","Switzerland",50.4076129497992,49.5923870502008,"Europe & Central Asia","High income",7.44821,46.948
"216","CHE","2020","Switzerland",50.3889368658443,49.6110631341557,"Europe & Central Asia","High income",7.44821,46.948
"217","CHE","2021","Switzerland",50.3706043512852,49.6293956487148,"Europe & Central Asia","High income",7.44821,46.948
"225","CHL","2015","Chile",50.7784252257009,49.2215747742991,"Latin America & Caribbean","High income",-70.6475,-33.475
"226","CHL","2016","Chile",50.7648824717701,49.2351175282299,"Latin America & Caribbean","High income",-70.6475,-33.475
"227","CHL","2017","Chile",50.746953171379,49.253046828621,"Latin America & Caribbean","High income",-70.6475,-33.475
"228","CHL","2018","Chile",50.7270318390045,49.2729681609955,"Latin America & Caribbean","High income",-70.6475,-33.475
"229","CHL","2019","Chile",50.7083329046195,49.2916670953805,"Latin America & Caribbean","High income",-70.6475,-33.475
"230","CHL","2020","Chile",50.6927916513154,49.3072083486846,"Latin America & Caribbean","High income",-70.6475,-33.475
"231","CHL","2021","Chile",50.6810250608436,49.3189749391564,"Latin America & Caribbean","High income",-70.6475,-33.475
"232","CHN","2015","China",48.6434871577742,51.3565128422258,"East Asia & Pacific","Upper middle income",116.286,40.0495
"233","CHN","2016","China",48.6543796042457,51.3456203957543,"East Asia & Pacific","Upper middle income",116.286,40.0495
"234","CHN","2017","China",48.6663481812862,51.3336518187138,"East Asia & Pacific","Upper middle income",116.286,40.0495
"235","CHN","2018","China",48.6793739572695,51.3206260427305,"East Asia & Pacific","Upper middle income",116.286,40.0495
"236","CHN","2019","China",48.6934979729146,51.3065020270854,"East Asia & Pacific","Upper middle income",116.286,40.0495
"237","CHN","2020","China",48.7087371628449,51.2912628371551,"East Asia & Pacific","Upper middle income",116.286,40.0495
"238","CHN","2021","China",48.725003205926,51.274996794074,"East Asia & Pacific","Upper middle income",116.286,40.0495
"239","CIV","2015","Cote d'Ivoire",49.4220091941203,50.5779908058796,"Sub-Saharan Africa","Lower middle income",-4.0305,5.332
"240","CIV","2016","Cote d'Ivoire",49.4556584330441,50.5443415669559,"Sub-Saharan Africa","Lower middle income",-4.0305,5.332
"241","CIV","2017","Cote d'Ivoire",49.4879606014942,50.5120393985058,"Sub-Saharan Africa","Lower middle income",-4.0305,5.332
"242","CIV","2018","Cote d'Ivoire",49.5191195771262,50.4808804228738,"Sub-Saharan Africa","Lower middle income",-4.0305,5.332
"243","CIV","2019","Cote d'Ivoire",49.5492047651485,50.4507952348515,"Sub-Saharan Africa","Lower middle income",-4.0305,5.332
"244","CIV","2020","Cote d'Ivoire",49.5782798534021,50.4217201465979,"Sub-Saharan Africa","Lower middle income",-4.0305,5.332
